"报告期","序号","品种代码","品种简称","持仓数量(股)","持仓市值(元)","占股票市值比(%)","占基金净值比(%)","占流通股本比例(%)","相对上期增减(%)","区间涨跌幅(%)","所属行业名称"
"2017-06-30","45","600594.SH","益佰制药","10000","152600","0.03","0.03","0","","-8.35","医药"
"2017-06-30","46","002139.SZ","拓邦股份","10000","107700","0.02","0.02","0","","23.82","电子"
"2017-06-30","47","002504.SZ","弘高创意","10000","81000","0.02","0.01","0","","2.4","电子"
"2017-06-30","48","601998.SH","中信银行","10000","62900","0.01","0.01","0","","-1.87","银行"
"2017-06-30","49","603228.SH","景旺电子","1000","48250","0.01","0.01","0","-62.98","45.98","电子"
"2017-06-30","50","603801.SH","志邦家居","1406","47522.8","0.01","0.01","0","","0",""
"2017-06-30","51","300666.SZ","江丰电子","2276","43448.84","0.01","0.01","0","","185.78",""
"2017-06-30","52","603316.SH","诚邦股份","1824","38778.24","0.01","0.01","0","","116.5",""
"2017-06-30","53","603380.SH","易德龙","1298","35370.5","0.01","0.01","0","","77.18",""
"2017-06-30","54","002881.SZ","美格智能","989","22608.54","0","0","0","","77.21",""
"2017-06-30","55","603679.SH","华体科技","809","21438.5","0","0","0","","95",""
"2017-06-30","56","002882.SZ","金龙羽","2966","18389.2","0","0","0","","",""
"2017-06-30","57","603933.SH","睿能科技","857","17311.4","0","0","0","","",""
"2017-06-30","58","300669.SZ","沪宁股份","841","14650.22","0","0","0","","9.97",""
"2017-06-30","59","300670.SZ","大烨智能","1259","13760.87","0","0","0","","",""
"2017-06-30","60","603286.SH","日盈电子","890","13528","0","0","0","","33.1",""
"2017-06-30","61","300672.SZ","国科微","1257","10659.36","0","0","0","","",""
"2017-06-30","62","603331.SH","百达精工","999","9620.37","0","0","0","","",""
"2017-06-30","63","300671.SZ","富满电子","942","7639.62","0","0","0","","",""
"2017-06-30","0","合计","","40403245","534469563.33","100","94.39","","","",""
