date,close,pct_change
2009-07-03,0.936,-0.06399999999999995
2009-07-10,0.941,0.005341880341880323
2009-07-17,0.945,0.004250797024442088
2009-07-24,0.955,0.010582010582010692
2009-07-31,0.958,0.003141361256544517
2009-08-05,1.0,0.04384133611691032
2009-08-07,0.982,-0.018000000000000016
2009-08-14,0.965,-0.01731160896130346
2009-08-21,0.953,-0.012435233160621784
2009-08-28,0.932,-0.022035676810073346
2009-09-04,0.936,0.0042918454935623185
2009-09-11,0.958,0.02350427350427342
2009-09-18,0.952,-0.006263048016701522
2009-09-25,0.93,-0.02310924369747891
2009-09-30,0.922,-0.008602150537634468
2009-10-09,0.947,0.027114967462039008
2009-10-12,0.946,-0.001055966209081327
2009-10-13,0.954,0.008456659619450413
2009-10-14,0.957,0.003144654088050425
2009-10-15,0.961,0.004179728317659448
2009-10-16,0.965,0.004162330905306932
2009-10-19,0.982,0.01761658031088076
2009-10-20,0.992,0.010183299389002087
2009-10-21,0.986,-0.006048387096774244
2009-10-22,0.981,-0.005070993914807254
2009-10-23,0.998,0.017329255861366022
2009-10-26,0.999,0.0010020040080160886
2009-10-27,0.978,-0.02102102102102099
2009-10-28,0.982,0.004089979550102152
2009-10-29,0.967,-0.01527494908350302
2009-10-30,0.978,0.011375387797311287
2009-11-02,1.01,0.0327198364008181
2009-11-03,1.02,0.00990099009900991
2009-11-04,1.023,0.002941176470588225
2009-11-05,1.023,0.0
2009-11-06,1.025,0.0019550342130987275
2009-11-09,1.028,0.0029268292682926855
2009-11-10,1.032,0.0038910505836575737
2009-11-11,1.03,-0.0019379844961240345
2009-11-12,1.033,0.002912621359223211
2009-11-13,1.036,0.0029041626331076653
2009-11-16,1.069,0.031853281853281734
2009-11-17,1.068,-0.0009354536950419989
2009-11-18,1.07,0.001872659176029856
2009-11-19,1.07,0.0
2009-11-20,1.068,-0.0018691588785046953
2009-11-23,1.08,0.011235955056179803
2009-11-24,1.047,-0.03055555555555567
2009-11-25,1.082,0.033428844317096695
2009-11-26,1.042,-0.0369685767097967
2009-11-27,1.018,-0.02303262955854124
2009-11-30,1.063,0.04420432220039294
2009-12-01,1.081,0.016933207902163794
2009-12-02,1.088,0.00647548566142464
2009-12-03,1.088,0.0
2009-12-04,1.087,-0.0009191176470588758
2009-12-07,1.094,0.0064397424103037615
2009-12-08,1.08,-0.012797074954296161
2009-12-09,1.07,-0.0092592592592593
2009-12-10,1.076,0.005607476635514086
2009-12-11,1.078,0.0018587360594795044
2009-12-14,1.081,0.002782931354359919
2009-12-15,1.085,0.0037002775208141436
2009-12-16,1.078,-0.006451612903225712
2009-12-17,1.046,-0.029684601113172615
2009-12-18,1.019,-0.025812619502868173
2009-12-21,1.024,0.004906771344455496
